
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$2,600 per month",2 Beds,1 Bath,900 Sq Ft,Apartment for Rent,"Available February 1st. Bright 2 bedroom corner unit apartment located on a quiet side street in Winter Hill. This sunny unit has hardwood floors throughout, 2 generous bedrooms, an eat in kitchen, and 1 off street parking space. Heat and hot water included in the rent. Built in a/c unit in the living room. Laundry is available in the building. Great commuter location convenient to Rte. 93 and","133 Heath St Unit 14, Somerville, MA 02145",Jay Najarian
"$4,225 per month",5 Beds,2 Baths,"2,200 Sq Ft",Condo for Rent,"September 1st lease start!Cats and dogs are negotiable!Renovated 5 bedroom, 2 bath apartment, minutes to Tufts University. Modern Kitchen with Granite Counter tops, Stainless Steel Appliances, Dishwasher, Disposal. New ceramic tile throughout + Gleaming Hardwood Floors. Large Bedrooms all with closets. Plenty of Storage. House has been Fully insulated to save on heating and cooling.","221 Boston Ave Unit 2, Medford, MA 02155",
"$3,700 per month",2 Beds,2 Baths,"1,274 Sq Ft",Condo for Rent,"The Parkway, a 23-unit luxury condominium building exquisitely designed by one of Boston's leading architectural and interior design teams. This sun-filled unit offers 2 large bedrooms and a large study, as well as an open-concept layout with hardwood floors, large windows, in-unit laundry and an amazing balcony. A dream for any home chef, each kitchen is expertly designed with quartz countertops","395 Alewife Brook Pkwy Unit 2H, Somerville, MA 02144",Gian-Paul Sanseverino
"$3,000 per month",3 Beds,2 Baths,"1,200 Sq Ft",Condo for Rent,Avail Now for move in! 3+BR/2B-Tufts area near Somerville line. Townhouse 1st & 2nd floor. 7 min to Ball Sq green line. Coin-op. laundry in basement. Newly renovated kitchen with granite countertops. Hardwood floors and pergo throughout. Porch. Negotiable Fee.,"98 Edward St Unit 1, Medford, MA 02155",
"$3,800 per month",4 Beds,1.5 Baths,"1,800 Sq Ft",Apartment for Rent,"Large 4 bedroom 1.5 bathroom in Powder House Square close to Davis Square with extra bonus room that can be used as an office. This charming and sunny apartment is situation across the 2nd and 3rd floor of a 2 family home. Consisting of 1 bedroom on the first floor, living room, kitchen, dining room and half bath. The second floor has 3 bedrooms, full bathroom and office. Small backyard with","34 Bay State Ave Unit 2, Somerville, MA 02144",Pietro Coco
"$2,900 per month",1 Bed,1 Bath,920 Sq Ft,Condo for Rent,"6/1-2BR/1B  W. Medford.  1 off St parking spot Incl.  20 min to Medford/Tufts Green line. 1st. floor unit with a living and formal dining room, eat-in kitchen.  Hardwood floors throughout, very nice apartment. Coin-op in basement.","30 Holton St Unit 1, Medford, MA 02155",
"$4,900 per month",5 Beds,2 Baths,"1,600 Sq Ft",Apartment for Rent,"Two level, renovated condo quality unit with 5 good sized bedrooms. 3 bedrooms on first floor with newer marble tiled full bath. Living room with crown molding and dining area. One bedroom can instead be used as a dining or family room. Two bedrooms on lower level with a newer full bath. Central air with gas heating and newer plumbing and electric in building. Renovated kitchen with glass tile","65 Conwell Ave Unit 1, Somerville, MA 02144",May Sun
"$3,300 per month",3 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Avail Now!  Large 3BR-Located in the Hynes Square area of Medford. 1st floor of a 2 unit home. Eat-in kitchen with dishwasher, microwave and disposal.  Hardwood floors, Storage, in basement. Porch & yard. Laundry Hook-up in Unit available.","68 Kenmere Rd Unit 1, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,920 Sq Ft,Condo for Rent,"3/1 Move in!  2 BR Apt. Walking distance from Wellington Circle & MBTA. Bright & Sunny 3rd fl.5 rooms total.  Ceramic tile bath. NEW thermal energy efficient windows. In Unit Washer/dryer.  Hardwood floors. Ceiling Fans. Newer plastered walls and ceilings. New roof, newer stove, newer microwave. Newer heating system with energy efficient Becket burner. Easy commute to Rte. 93 and the","15 5th St Unit 3, Medford, MA 02155",
"$7,000 per month",3-5 Beds,2 Baths,"1,250 Sq Ft",Condo for Rent,"Avail 6/1/2025-Enormous apartment!  Large bedrooms, some with massive walk in closets.  Top floor gut renovated and everything brand new in 2017.  High end kitchen with deluxe flat top stove, granite counters, and stainless steel appliances.  3 season enclosed back porch, yard, and 2 tandem parking spots in shared driveway - possibly room for 3 cars.  Spectacular views of Tufts athletic fields.","14 Renfrew St, Medford, MA 02155",
"$3,900 per month",3-5 Beds,2 Baths,"1,250 Sq Ft",Condo for Rent,"Avail 6/1/2025-Enormous apartment!  Large bedrooms, some with massive walk in closets.  Top floor gut renovated and everything brand new in 2017.  High end kitchen with deluxe flat top stove, granite counters, and stainless steel appliances.  3 season enclosed back porch, yard, and 2 tandem parking spots in shared driveway - possibly room for 3 cars.  Spectacular views of Tufts athletic fields.","14 Renfrew St, Medford, MA 02155",
"$4,400 per month",4 Beds,1 Bath,"1,900 Sq Ft",Condo for Rent,"Avail: 9/1/25-4 bedroom apartment near Tufts Park. Convenient to Tufts University, several bus lines, easy access to highways. 1st and 2nd floor of a two-unit building. Free private laundry on site and 1 off street parking spot is included.","27 Princeton St Unit 2, Medford, MA 02155",
"$6,000 per month",5 Beds,2 Baths,"1,999 Sq Ft",Condo for Rent,"Available 6/1-Located in the Tufts area of Medford.  5 bedroom / 2 bathroom apartment in a Two-unit.  Eat in Kitchen with the following amenities: dishwasher, disposal, refrigerator,  and Electric Stove.  Coin operated laundry is on site.  Parking for 2 cars is included.","217 Boston Ave Unit 2, Medford, MA 02155",
"$3,200 per month",2 Beds,2 Baths,"1,000 Sq Ft",Condo for Rent,"Beautiful 2-bedroom, 2-bathroom apartment located in Medford.","26 Bradlee Rd Unit 102, Medford, MA 02155",
"$5,500 per month",5 Beds,2 Baths,"1,895 Sq Ft",Condo for Rent,"6/1-Move in! 5+BR/2B-Spacious apt near Tufts in Medford, a 12-minute walk to the Green Line T. Features include hardwood floors, dining room, eat-in kitchen (microwave, dishwasher, gas stove), in-unit laundry, two off-street parking spaces, and a deck. Cats and dogs are negotiable.","22 Harris Rd Unit 2, Medford, MA 02155",
"$3,450 per month",3 Beds,1 Bath,"1,140 Sq Ft",Condo for Rent,,"7 Greenleaf Ave Unit 1, Medford, MA 02155",
"$3,400 per month",2 Beds,1 Bath,920 Sq Ft,Condo for Rent,"6/1-2BD/1B-Spacious Tufts area. 6 min to Ball Sq green line, 11 min to Tufts green line. New Kitchen w/granite, updated cabinets, dishwasher/disposal.  Cat OK.","430 Main St Unit 3, Medford, MA 02155",
"$3,300 per month",3 Beds,1 Bath,"1,300 Sq Ft",Condo for Rent,Avail Now! 3BR Tufts/Ball Sq. 3 Off St Parking Incl.-In Unit laundry. Patio/Yard with garden. Eat in kitchen w/dishwasher. No pets. 4 min to Ball sq Green line and 8 min to Medford tufts green line.,"254 Harvard St Unit 1, Medford, MA 02155",
"$2,950 per month",2 Beds,1.5 Baths,"1,250 Sq Ft",Townhouse for Rent,"** Lease duration is flexible and open to negotiation **       Fully furnished;  In-unit laundry; 3 off street parking spots; Private deck; Water, garbage disposal and snow removal included in rent; Extra storage in basement.  Beautifully maintained, sunny penthouse condo features 2 levels of living space. Entertain or cozy up w/a book in the fireplaced living room. Be a part of the","45 Court St, Medford, MA 02155",
"$3,000 per month",3 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Avail NOW! Spacious 3+ bedroom place right near Tufts.  Eat in kitchen with dishwasher, hardwood floors, free laundry and 2 off street parking spots are included. Near Tufts University and a 10 minute walk to the Green Line","43 Orchard St, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"9,999 Sq Ft",Condo for Rent,"Contact EDGE for more information on this listing, and hundreds of our other listings! See why more people are choosing the highest and most-reviewed real estate firm in Massachusetts. One-month brokerage fee applies. EDGE Realty Advisors is not liable for any errors, omissions, or changes to terms and conditions of this rental.","39 Harvard St, Medford, MA 02155",
"$5,800 per month",4 Beds,4.5 Baths,"9,999 Sq Ft",Condo for Rent,"Contact EDGE for more information on this listing, and hundreds of our other listings! See why more people are choosing the highest and most-reviewed real estate firm in Massachusetts. One-month brokerage fee applies. EDGE Realty Advisors is not liable for any errors, omissions, or changes to terms and conditions of this rental.","39 Harvard St, Medford, MA 02155",
"$6,500 per month",5 Beds,5.5 Baths,"9,999 Sq Ft",Condo for Rent,"Contact EDGE for more information on this listing, and hundreds of our other listings! See why more people are choosing the highest and most-reviewed real estate firm in Massachusetts. Brokerage fee applies. EDGE Realty Advisors is not liable for any errors, omissions, or changes to terms and conditions of this rental.","62 Bradbury Ave Unit 1, Medford, MA 02155",
"$6,975 per month",Studio,"2,215 Sq Ft",House for Rent,,,"5 Malvern Terrace, Medford, MA 02155",
"$2,200 per month",Studio,1 Bath,500 Sq Ft,House for Rent,"SHORT TERM FURNISHED Studio.Great Studio with alcove /1 bath FURNISHED apartment for SHORT term rent on Wildwood Rd, MedfordThis apartment has been renovated recently. The apartment features 1Bedrooms and 1 Bathrooms. Open kitchen Washer and Dryer in unit. Gleaming hardwood floors throughout. Available in January 1st, 2025 or later moving day for short terms or month to month","9 Wildwood Rd, Medford, MA 02155",
"$4,250 per month",3 Beds,2 Baths,"1,740 Sq Ft",House for Rent,"Stunning 3-bedroom, 2-bath single family home available for rent. This beautifully designed unit features an open layout that maximizes space and fills each room with natural light, creating a bright and inviting atmosphere. The kitchen complete with high-quality appliances, sleek countertops, and plenty of cabinet space, making it both functional and stylish. Each spacious bedroom boasts","36 Hillsboro Rd, Medford, MA 02155",
"$3,600 per month",3 Beds,1 Bath,999 Sq Ft,Condo for Rent,,"112 College Ave Unit 1, Medford, MA 02155",
"$3,000 per month",2 Beds,1.5 Baths,750 Sq Ft,Condo for Rent,"Stunning 2-bedroom, 1.5-bath apartment available for rent. This beautifully designed unit features an open layout that maximizes space and fills each room with natural light, creating a bright and inviting atmosphere. The kitchen complete with high-quality appliances, sleek countertops, and plenty of cabinet space, making it both functional and stylish. Each spacious bedroom boasts hardwood","29 Capen St Unit 2, Medford, MA 02155",
"$4,600 per month",4 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Stunning 4-bedroom, 1-bath apartment available for rent. This beautifully designed unit features an open layout that maximizes space and fills each room with natural light, creating a bright and inviting atmosphere. The kitchen complete with high-quality appliances, sleek countertops, and plenty of cabinet space, making it both functional and stylish. Each spacious bedroom boasts hardwood floors","82 Quincy St Unit 2, Medford, MA 02155",
"$5,500 per month",3-5 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"SEPTEMBER 1, 20255 bedrooms, 2 bathroomsHardwood floorsModern kitchenBack patioLaundry in the building** I also have other houses and apartments available in the Tufts area that can accommodate different sized groups","132 George St Unit 2, Medford, MA 02155",
